dataset,ticker,date,adjClose,return
equity,BA,2020-03-16,129.61000061035156,-0.2384841190698378
equity,BA,2020-03-24,127.68000030517578,0.20886192941618376
equity,BA,2020-03-25,158.72999572753906,0.24318605379189218
equity,COP,2020-03-09,27.13709831237793,-0.24840091144957022
equity,COP,2020-03-24,24.484722137451172,0.25213819607690136
equity,CVX,2020-03-18,41.820552825927734,-0.22124764387250573
equity,CVX,2020-03-24,50.55690383911133,0.22740681709046773
equity,DOW,2020-03-09,21.74224281311035,-0.2165769561183465
equity,DOW,2020-03-17,18.94345474243164,0.20909086205537486
equity,NVDA,2023-05-25,37.90222930908203,0.24369616204857647
equity,O,2020-03-16,38.2365608215332,-0.2493050809693479
equity,O,2020-03-18,30.099164962768555,-0.22895515288015755
equity,OXY,2020-03-09,11.654413223266602,-0.5201379648635512
equity,OXY,2020-06-05,19.36812973022461,0.3369776129990134
equity,OXY,2020-11-09,11.411274909973145,0.22177786118836118
equity,SLB,2020-03-09,15.081514358520508,-0.2742137065869198
crypto,ADA-USD,2020-03-12,0.02396100014448166,-0.3956719959237812
crypto,ADA-USD,2020-03-19,0.03045099973678589,0.2018866708017939
crypto,ADA-USD,2021-01-06,0.3318980038166046,0.28486255679209194
crypto,ADA-USD,2021-02-05,0.5378739833831787,0.21952784525882985
crypto,ADA-USD,2021-02-10,0.9303179979324341,0.32238355542300967
crypto,ADA-USD,2021-02-20,1.1229579448699951,0.21054183130540904
crypto,ADA-USD,2021-03-16,1.2429529428482056,0.20261826071972244
crypto,ADA-USD,2021-05-13,1.9336680173873901,0.24529824720065174
crypto,ADA-USD,2021-05-19,1.4825210571289062,-0.2600942792737907
crypto,ADA-USD,2021-05-20,1.8104690313339233,0.22120965677218152
crypto,ADA-USD,2023-07-13,0.3576579988002777,0.23860806218444597
crypto,BCH-USD,2020-01-14,350.2635192871094,0.30928460580585315
crypto,BCH-USD,2020-03-12,152.22499084472656,-0.4295601601954183
crypto,BCH-USD,2020-03-19,221.2685546875,0.2354998873220957
crypto,BCH-USD,2021-01-09,573.911376953125,0.30121453612901106
crypto,BCH-USD,2021-01-11,479.58734130859375,-0.20545010117479245
crypto,BCH-USD,2021-04-16,1110.654296875,0.2793264275660756
crypto,BCH-USD,2021-05-05,1454.93505859375,0.5232012301314997
crypto,BCH-USD,2021-05-12,1209.806884765625,-0.21564624116757602
crypto,BCH-USD,2021-05-19,706.7958374023438,-0.3524843326069095
crypto,BCH-USD,2021-05-24,748.4216918945312,0.34574387875757506
crypto,BCH-USD,2022-07-28,154.74412536621094,0.21755684499047323
crypto,BCH-USD,2023-06-21,136.005615234375,0.2376461564331187
crypto,BCH-USD,2023-06-23,181.7744598388672,0.3568941754827186
crypto,BCH-USD,2023-06-30,305.0069580078125,0.2034338281160586
crypto,BTC-USD,2020-03-12,4970.7880859375,-0.37169538560117077
crypto,EOS-USD,2020-01-14,3.8306539058685303,0.23159871852441127
crypto,EOS-USD,2020-03-12,1.8480910062789917,-0.39602797384785726
crypto,EOS-USD,2020-12-23,2.304887056350708,-0.20491226760039105
crypto,EOS-USD,2021-05-05,8.784547805786133,0.37969096923150314
crypto,EOS-USD,2021-05-06,11.432257652282715,0.30140536599420753
crypto,EOS-USD,2021-05-11,14.3655424118042,0.5520823759487123
crypto,EOS-USD,2021-05-12,10.284602165222168,-0.2840783960394502
crypto,EOS-USD,2021-05-19,5.755894184112549,-0.3832731473391966
crypto,EOS-USD,2021-05-24,5.607605934143066,0.29771353066962236
crypto,EOS-USD,2021-06-21,3.5251801013946533,-0.21956316962874234
crypto,EOS-USD,2021-09-07,4.875247001647949,-0.21595152705319043
crypto,EOS-USD,2023-06-10,0.6986380219459534,-0.21893198827478488
crypto,ETC-USD,2020-01-14,6.8097381591796875,0.23884372725592984
crypto,ETC-USD,2020-03-12,3.9639461040496826,-0.39732828508925355
crypto,ETC-USD,2020-03-13,4.846123218536377,0.22255022932462087
crypto,ETC-USD,2021-02-13,16.592817306518555,0.37948660618717556
crypto,ETC-USD,2021-04-15,28.652196884155273,0.3036850487783964
crypto,ETC-USD,2021-04-16,38.53741455078125,0.34500732026215153
crypto,ETC-USD,2021-05-01,44.6092529296875,0.22659272316941692
crypto,ETC-USD,2021-05-04,69.49090576171875,0.3348262905754864
crypto,ETC-USD,2021-05-05,94.26644134521484,0.35652917906193804
crypto,ETC-USD,2021-05-06,134.10179138183594,0.42258251683374093
crypto,ETC-USD,2021-05-12,82.75916290283203,-0.2553630272130628
crypto,ETC-USD,2021-05-19,60.121788024902344,-0.32201439153450073
crypto,ETC-USD,2021-05-20,74.0557632446289,0.23176248873295546
crypto,ETC-USD,2021-05-24,73.42115783691406,0.41290192764650846
crypto,ETC-USD,2021-06-21,39.42816925048828,-0.22859650550013177
crypto,ETC-USD,2021-06-29,56.30165100097656,0.2993794045343765
crypto,ETC-USD,2022-03-19,33.92270278930664,0.2076501882541293
crypto,ETC-USD,2022-07-18,25.419828414916992,0.32505887659860644
crypto,ETC-USD,2022-07-27,32.721580505371094,0.30696935509023837
crypto,ETC-USD,2022-07-28,40.69428634643555,0.24365283454922881
crypto,ETC-USD,2022-09-05,39.50648880004883,0.21734620267723814
crypto,ETC-USD,2023-01-04,19.186887741088867,0.20719556337595058
crypto,ETH-USD,2020-03-12,112.34712219238281,-0.42347221465293294
crypto,ETH-USD,2021-01-03,975.5076904296875,0.2594753293956862
crypto,ETH-USD,2021-05-19,2460.67919921875,-0.2720034941722024
crypto,ETH-USD,2021-05-24,2643.591064453125,0.2531362984543515
crypto,LTC-USD,2020-03-12,30.930883407592773,-0.3617732392248725
crypto,LTC-USD,2020-03-13,37.43795394897461,0.21037454558392965
crypto,LTC-USD,2021-05-19,189.52017211914062,-0.3567286431879725
crypto,LTC-USD,2021-05-24,183.99412536621094,0.28201603604628467
crypto,LTC-USD,2023-06-30,108.16532897949219,0.2758975797046421
crypto,TRX-USD,2020-03-12,0.008791999891400337,-0.4073474978906344
crypto,TRX-USD,2021-02-11,0.0570640005171299,0.2354457076975005
crypto,TRX-USD,2021-03-31,0.09231200069189072,0.3968465079646215
crypto,TRX-USD,2021-04-04,0.1293729990720749,0.267468046416784
crypto,TRX-USD,2021-05-05,0.14635300636291504,0.22579870152440673
crypto,TRX-USD,2021-05-19,0.07933200150728226,-0.31837159107727875
crypto,TRX-USD,2021-05-24,0.07672300189733505,0.21433665762186593
crypto,TRX-USD,2021-06-21,0.05358399823307991,-0.21006001389878792
crypto,XLM-USD,2020-03-12,0.03344099968671799,-0.33631689758212857
crypto,XLM-USD,2020-11-21,0.10840500146150589,0.22759238346102229
crypto,XLM-USD,2020-11-23,0.1305990070104599,0.26150920923136156
crypto,XLM-USD,2020-11-24,0.19548000395298004,0.49679548434333576
crypto,XLM-USD,2020-11-27,0.2064090073108673,0.23193954156348529
crypto,XLM-USD,2020-12-23,0.12647099792957306,-0.22020532612351784
crypto,XLM-USD,2020-12-24,0.159620001912117,0.26210755450038725
crypto,XLM-USD,2021-01-04,0.1651799976825714,0.21079282544890088
