period,model,candidate_strength,discovery_selected_strength,transaction_cost_bps,observations,annualized_return,arithmetic_annual_return,annualized_volatility,sharpe_ratio,max_drawdown,ending_growth,turnover
Full OOS (descriptive; strength tuned within period),Base Equity Minimum-Variance,0.25,0.0,10.0,753,0.07017945237598355,0.07592800333974489,0.12726868911713288,0.5965960981169837,-0.1783521099156289,1.2246702011846908,2.0881411661150473
Full OOS (descriptive; strength tuned within period),Finance-Sentiment Tilt,0.25,0.0,10.0,753,0.06921036410144876,0.0749650926382625,0.1268231212858779,0.5910995714202635,-0.1813994358772537,1.2213594287692895,4.7914900332671655
Discovery (strength selected here),Base Equity Minimum-Variance,0.25,0.0,10.0,503,0.07964546374520176,0.08578067707379725,0.13526648410766073,0.6341606173893236,-0.1783521099156289,1.1652799141305057,1.8221564630211757
Discovery (strength selected here),Finance-Sentiment Tilt,0.25,0.0,10.0,503,0.07748435889529515,0.08366454691991532,0.13444080631227537,0.6223151230258291,-0.1813994358772537,1.160628776112797,3.751342228411209
Untouched holdout,Base Equity Minimum-Variance,0.25,0.0,10.0,250,0.05138457510533567,0.05610442378683158,0.10966717694699761,0.5115881100317462,-0.08594117290799996,1.0509665414584093,0.2659847030938715
Untouched holdout,Finance-Sentiment Tilt,0.25,0.0,10.0,250,0.052755106387661455,0.05746179062357706,0.1101564681465311,0.5216379173226658,-0.08488390289939751,1.0523256478784617,1.0401478048559567
