rebalance_date,ticker,weight,sentiment_z,strength
2021-01-04,ABBV,0.15968861989759442,0.1555543114624099,0.25
2021-01-04,ABT,8.328956203939442e-17,1.8541726622530172,0.25
2021-01-04,ADBE,0.0,-0.3758558765154705,0.25
2021-01-04,AEP,4.639158702605603e-17,-1.251567992975099,0.25
2021-01-04,AMD,0.0,1.2676419634555007,0.25
2021-01-04,AMGN,0.0,-0.15354078136833266,0.25
2021-01-04,AMT,1.2847549534090991e-17,-0.3947838127420473,0.25
2021-01-04,BA,0.0,-0.2835249639776913,0.25
2021-01-04,CAT,1.3205328326992516e-18,0.07841459292237994,0.25
2021-01-04,CCI,2.335459613464161e-17,-1.7076307150348653,0.25
2021-01-04,CMCSA,0.0,-1.168308387433404,0.25
2021-01-04,COP,0.0,-2.3525589784298138,0.25
2021-01-04,CVX,0.0,0.2743149576124845,0.25
2021-01-04,D,1.2113046949642385e-17,0.1712183079547659,0.25
2021-01-04,DD,0.0,0.12155979628411583,0.25
2021-01-04,DIS,1.1058456917205998e-17,0.28094503040932767,0.25
2021-01-04,DOW,0.0,1.3940154443659472,0.25
2021-01-04,DUK,0.0,-1.1008439188198151,0.25
2021-01-04,EA,0.09088821413099533,0.927767481796267,0.25
2021-01-04,GE,0.0,-1.4060259267593744,0.25
2021-01-04,GILD,0.10104158356659597,-0.8667786406294811,0.25
2021-01-04,GS,0.0,0.060744710158680285,0.25
2021-01-04,INTC,0.0,0.5417111324364722,0.25
2021-01-04,KO,3.868317420372572e-17,-0.16377264958873466,0.25
2021-01-04,MMM,0.08712466119216439,0.5046855385305054,0.25
2021-01-04,MRK,0.07934351760089477,1.2311050237922687,0.25
2021-01-04,MS,0.0,-0.261227478742386,0.25
2021-01-04,NEE,0.0,0.8597493091206233,0.25
2021-01-04,NEM,0.1532924360930568,0.6483072132131091,0.25
2021-01-04,NKE,0.003439842302659205,1.2065079350987533,0.25
2021-01-04,NUE,6.4719741807934575e-18,-0.8800034250168879,0.25
2021-01-04,NVDA,3.646899027743616e-17,-1.3327002092257387,0.25
2021-01-04,O,1.5100069729471734e-17,0.8963957753329721,0.25
2021-01-04,OXY,2.338437598895677e-17,0.3281846668517476,0.25
2021-01-04,PLD,4.620255915910442e-18,-0.9715394491703575,0.25
2021-01-04,PSA,0.07382662119642411,-0.18055279690091797,0.25
2021-01-04,QCOM,5.9124410780054785e-18,0.4051407887817279,0.25
2021-01-04,SBUX,1.8549572055370196e-17,0.7975508575603709,0.25
2021-01-04,SHW,2.583152802940512e-18,-1.2062808291627802,0.25
2021-01-04,SLB,5.418735297983362e-18,-1.7500327892606844,0.25
2021-01-04,SO,0.0,-1.0789871795281556,0.25
2021-01-04,T,9.30966060461634e-18,-0.40939180702569156,0.25
2021-01-04,TMUS,0.0,0.4148772375781862,0.25
2021-01-04,TTWO,0.04726297877870655,0.6977799425997803,0.25
2021-01-04,UPS,0.018119982861362172,0.36061715372866476,0.25
2021-01-04,USB,4.3741751877157376e-17,1.6507009906071952,0.25
2021-01-04,V,0.0,0.27243395338253534,0.25
2021-01-04,WFC,0.0,2.5,0.25
2021-01-04,WMT,0.1859715423795459,-0.04697347074693673,0.25
2021-01-04,XOM,1.9039739908402878e-17,-0.5884764669896483,0.25
2021-02-01,ABBV,0.14297946722442195,-0.059898706629128995,0.25
2021-02-01,ABT,0.0,1.7783481586450456,0.25
2021-02-01,ADBE,3.832698514007237e-17,1.431772269713037,0.25
2021-02-01,AEP,3.839264099361314e-18,-0.451964837038467,0.25
2021-02-01,AMD,0.0,0.2857841587206177,0.25
2021-02-01,AMGN,0.0,0.033812878118613374,0.25
2021-02-01,AMT,8.117241080308855e-18,0.6385040654007532,0.25
2021-02-01,BA,0.0,-0.7711336546506453,0.25
2021-02-01,CAT,0.0,0.7956999858675387,0.25
2021-02-01,CCI,0.0,-0.0534428901573807,0.25
2021-02-01,CMCSA,0.0,-1.2563747828189935,0.25
2021-02-01,COP,2.0266664275760294e-17,-1.9489496369156805,0.25
2021-02-01,CVX,9.420592855094868e-18,-0.8776041767503849,0.25
2021-02-01,D,0.0,-1.2697542772285983,0.25
2021-02-01,DD,0.0,-1.1619742483532103,0.25
2021-02-01,DIS,0.0,-0.10504221907767486,0.25
2021-02-01,DOW,0.0,-0.9012857119394816,0.25
2021-02-01,DUK,0.0,0.09853898297384442,0.25
2021-02-01,EA,0.05317724283594103,-2.2296783711788173,0.25
2021-02-01,GE,0.0,0.3880697614208005,0.25
2021-02-01,GILD,0.1306510773450753,0.10833917910641236,0.25
2021-02-01,GS,1.3929518562888474e-18,-0.10750183261598817,0.25
2021-02-01,INTC,2.4021648823551766e-17,0.2844754380882784,0.25
2021-02-01,KO,0.0006970360784153614,0.2550613646999359,0.25
2021-02-01,MMM,0.10126711388095246,-0.021228577011124496,0.25
2021-02-01,MRK,0.06447110332840834,-0.01731106346201943,0.25
2021-02-01,MS,5.71166827389543e-17,2.5,0.25
2021-02-01,NEE,2.548549421830524e-17,1.1266640608059777,0.25
2021-02-01,NEM,0.1157921739490202,-0.4986506147199452,0.25
2021-02-01,NKE,1.552952583485698e-17,0.27231751021871176,0.25
2021-02-01,NUE,1.6265918599788167e-18,-1.2536695635647879,0.25
2021-02-01,NVDA,2.345454731657197e-17,-1.0726715861629907,0.25
2021-02-01,O,5.625856749094826e-20,0.12726464959442466,0.25
2021-02-01,OXY,1.5703992765302668e-17,-1.2167563212873067,0.25
2021-02-01,PLD,0.0,0.054198835075154266,0.25
2021-02-01,PSA,0.1328433362417103,1.4720186297832771,0.25
2021-02-01,QCOM,1.8775052820280466e-18,0.3712986613357883,0.25
2021-02-01,SBUX,0.0,-0.44565483212161255,0.25
2021-02-01,SHW,1.8007160673548754e-17,1.6529059642707917,0.25
2021-02-01,SLB,5.043071261013239e-19,-0.13478272011033524,0.25
2021-02-01,SO,1.446916190746714e-17,-0.8191195177204799,0.25
2021-02-01,T,6.952260414444646e-18,-0.2807175628227597,0.25
2021-02-01,TMUS,0.0,0.02067403204757331,0.25
2021-02-01,TTWO,0.03602523662846338,0.26175111190473815,0.25
2021-02-01,UPS,0.012812552266169095,0.2896815325789133,0.25
2021-02-01,USB,0.0,-0.12570259201545084,0.25
2021-02-01,V,1.200942815945103e-17,1.6899932386321959,0.25
2021-02-01,WFC,0.0,1.3561860885329413,0.25
2021-02-01,WMT,0.2092836602214223,0.17583563764574503,0.25
2021-02-01,XOM,0.0,-1.0276558781626721,0.25
2021-03-01,ABBV,0.1931687296327767,1.454433122765173,0.25
2021-03-01,ABT,5.5435077616993545e-17,-0.46452870035589394,0.25
2021-03-01,ADBE,0.0,1.752009268909466,0.25
2021-03-01,AEP,3.454193989619224e-17,1.235256964994683,0.25
2021-03-01,AMD,1.9761780964334496e-17,0.23394392333799074,0.25
2021-03-01,AMGN,1.485682993318767e-17,0.3799743214273061,0.25
2021-03-01,AMT,1.2108667303352983e-19,-0.8518050253499191,0.25
2021-03-01,BA,9.358977808597165e-18,-1.309753631592653,0.25
2021-03-01,CAT,2.1056655237888496e-17,0.6201623724053699,0.25
2021-03-01,CCI,9.17350028690042e-19,-0.1884398220444402,0.25
2021-03-01,CMCSA,1.9838677877901623e-18,-1.0915009631595747,0.25
2021-03-01,COP,0.0,-1.4723865123815516,0.25
2021-03-01,CVX,1.033334764885875e-17,-1.268598858165414,0.25
2021-03-01,D,0.0,-0.1625452958020141,0.25
2021-03-01,DD,0.0,-0.26339501823938694,0.25
2021-03-01,DIS,1.8519649806060144e-17,0.6072344383161196,0.25
2021-03-01,DOW,0.0,-0.6645509432076975,0.25
2021-03-01,DUK,0.0,0.2902490347628591,0.25
2021-03-01,EA,0.09489037450537405,0.3933369395405132,0.25
2021-03-01,GE,4.410709516219815e-18,-0.15046174150698713,0.25
2021-03-01,GILD,0.152318675017461,1.392925672131419,0.25
2021-03-01,GS,1.2486819679991716e-17,0.09552956237880043,0.25
2021-03-01,INTC,0.0,-0.18132028198687963,0.25
2021-03-01,KO,1.5878188123553044e-18,0.12112112099033584,0.25
2021-03-01,MMM,0.08210381887751517,-0.47362944626281533,0.25
2021-03-01,MRK,0.07803582655372517,1.1673602349131924,0.25
2021-03-01,MS,0.0,-1.18156520532267,0.25
2021-03-01,NEE,0.0,0.04186579306191802,0.25
2021-03-01,NEM,0.11227216201169915,-0.09020131233739634,0.25
2021-03-01,NKE,1.281707986558348e-18,-1.1367218113150612,0.25
2021-03-01,NUE,0.0,2.1948106892178902,0.25
2021-03-01,NVDA,0.0,-1.4989840574359892,0.25
2021-03-01,O,0.0,1.7167746355931728,0.25
2021-03-01,OXY,2.6937485112251874e-17,1.1780529938030284,0.25
2021-03-01,PLD,0.0,-1.1739215495963584,0.25
2021-03-01,PSA,0.08470995513785225,0.001057224878961265,0.25
2021-03-01,QCOM,8.4044554732498155e-19,0.11272499166545315,0.25
2021-03-01,SBUX,5.59007885324319e-18,-0.7230174787964342,0.25
2021-03-01,SHW,0.0,-1.1316985745178072,0.25
2021-03-01,SLB,0.0,-0.9508804622141195,0.25
2021-03-01,SO,0.0,0.49628376231167554,0.25
2021-03-01,T,6.611101372062488e-18,0.05686187197915708,0.25
2021-03-01,TMUS,0.0,0.43337696947115584,0.25
2021-03-01,TTWO,0.03704644857818377,1.4209077338258376,0.25
2021-03-01,UPS,0.014164646389789634,0.9234869205390869,0.25
2021-03-01,USB,0.0,0.31229369608236424,0.25
2021-03-01,V,0.0,0.3749533164358042,0.25
2021-03-01,WFC,0.0,0.8179885981041418,0.25
2021-03-01,WMT,0.15128936329562273,-0.6686176918253437,0.25
2021-03-01,XOM,1.0940682397183922e-17,-2.5,0.25
2021-04-01,ABBV,0.11870873103773297,-0.1447535572784973,0.25
2021-04-01,ABT,0.0,0.6863279680475218,0.25
2021-04-01,ADBE,0.0,1.0410162701425016,0.25
2021-04-01,AEP,3.390458350428867e-17,-0.33925509016055916,0.25
2021-04-01,AMD,2.6723654845235796e-17,1.0360772153615407,0.25
2021-04-01,AMGN,1.678487946751145e-17,0.46303991273343187,0.25
2021-04-01,AMT,0.0,-1.689153208070464,0.25
2021-04-01,BA,0.0,-0.06423474171607407,0.25
2021-04-01,CAT,2.5872738800618994e-17,-0.8377301661839586,0.25
2021-04-01,CCI,0.0,0.5965791202462347,0.25
2021-04-01,CMCSA,3.490321311646405e-18,-0.05112541251342341,0.25
2021-04-01,COP,0.0,-0.7549621084077308,0.25
2021-04-01,CVX,3.869498446841754e-18,0.5260977251521948,0.25
2021-04-01,D,0.0,2.5,0.25
2021-04-01,DD,5.3661162577190676e-18,-0.9744680922458482,0.25
2021-04-01,DIS,0.0,0.2008378988692377,0.25
2021-04-01,DOW,1.2495688375335209e-17,-1.2525135422968958,0.25
2021-04-01,DUK,1.4690820801680593e-17,-1.3355635539877846,0.25
2021-04-01,EA,0.11938513881852494,1.522924123042362,0.25
2021-04-01,GE,1.6904350815232034e-18,-0.5825159958062878,0.25
2021-04-01,GILD,0.11960635870771259,0.39807245284044335,0.25
2021-04-01,GS,9.839787941215283e-18,-0.8098449240239682,0.25
2021-04-01,INTC,0.0,-0.39561814340324486,0.25
2021-04-01,KO,1.1220841289595664e-16,0.9554008945088583,0.25
2021-04-01,MMM,0.07900298318513302,-0.9680512100501112,0.25
2021-04-01,MRK,0.07748774070014161,0.36291516087261294,0.25
2021-04-01,MS,0.0,1.568701493937691,0.25
2021-04-01,NEE,3.603872109443019e-17,0.35442932029618984,0.25
2021-04-01,NEM,0.13058415121479214,0.6316386311520349,0.25
2021-04-01,NKE,0.0,-0.20888478538058045,0.25
2021-04-01,NUE,7.958555474897641e-18,1.1320193267365923,0.25
2021-04-01,NVDA,2.1824449313661217e-17,-1.608922735526187,0.25
2021-04-01,O,0.0,-0.2805697857159081,0.25
2021-04-01,OXY,0.0,-2.0441312421191307,0.25
2021-04-01,PLD,0.0,-1.4013657641404345,0.25
2021-04-01,PSA,0.11892878138348349,1.3371262158294275,0.25
2021-04-01,QCOM,0.0,-1.5422688301002847,0.25
2021-04-01,SBUX,0.0,0.005059252384646372,0.25
2021-04-01,SHW,5.3909590414323946e-18,-0.8943154000918228,0.25
2021-04-01,SLB,0.0,0.8854943798349092,0.25
2021-04-01,SO,0.0,-1.1239231121138356,0.25
2021-04-01,T,7.099330084670975e-18,-0.45776527436274556,0.25
2021-04-01,TMUS,2.190132315352517e-17,0.2850783798383218,0.25
2021-04-01,TTWO,0.0320922354570572,0.6471363739096182,0.25
2021-04-01,UPS,0.010384585429398841,-0.15221269670360243,0.25
2021-04-01,USB,0.0,0.7638069592866565,0.25
2021-04-01,V,1.004428317097594e-17,0.7654257636587629,0.25
2021-04-01,WFC,6.97526010831828e-18,-0.3366836362696664,0.25
2021-04-01,WMT,0.19381929406602286,0.30101835967190554,0.25
2021-04-01,XOM,0.0,0.6877411552440356,0.25
2021-05-03,ABBV,0.15914911857071354,0.4131214935663081,0.25
2021-05-03,ABT,7.020335386626073e-17,0.024574256964737633,0.25
2021-05-03,ADBE,1.1376452632292194e-17,0.5206430632119242,0.25
2021-05-03,AEP,1.6883212125738355e-17,0.2558542099331917,0.25
2021-05-03,AMD,0.0,-0.3633668268773036,0.25
2021-05-03,AMGN,0.0,-1.5196809898778159,0.25
2021-05-03,AMT,0.0,-0.02028137191255215,0.25
2021-05-03,BA,6.7118938968615476e-18,-0.6134807914751625,0.25
2021-05-03,CAT,0.0,-0.2372923896937697,0.25
2021-05-03,CCI,0.0,1.5820628362935403,0.25
2021-05-03,CMCSA,1.5504847430907243e-17,-1.3800731571916685,0.25
2021-05-03,COP,6.89857116226714e-18,-1.662217948759402,0.25
