date,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net,model
2021-01-04,0.0027187900237056225,0.0017160712336818928,1.0,0.001,1.0027187900237056,0.0,1.001716071233682,0.0,Base Equity Minimum-Variance
2021-01-05,0.0012712960949242797,0.001271296094924379,0.0,0.0,1.00399354250577,0.0,1.0029895489632643,0.0,Base Equity Minimum-Variance
2021-01-06,0.006322421793773059,0.006322421793772959,0.0,0.0,1.0103412131597158,0.0,1.0093308719465561,0.0,Base Equity Minimum-Variance
2021-01-07,0.006415020980113398,0.006415020980113484,0.0,0.0,1.0168225732392087,0.0,1.0158057506659695,0.0,Base Equity Minimum-Variance
2021-01-08,-0.002683676525325053,-0.002683676525325085,0.0,0.0,1.014093750368986,-0.002683676525325085,1.0130796566186169,-0.002683676525325196,Base Equity Minimum-Variance
2021-01-11,1.268810118986462e-05,1.2688101189928247e-05,0.0,0.0,1.0141066172931068,-0.002671022474894369,1.0130925106758135,-0.002671022474894591,Base Equity Minimum-Variance
2021-01-12,0.0007820843329411836,0.0007820843329411353,0.0,0.0,1.0148997341904238,-0.0018910271067836826,1.013884834456233,-0.0018910271067840156,Base Equity Minimum-Variance
2021-01-13,-0.001497747593154591,-0.0014977475931545747,0.0,0.0,1.0133796705562468,-0.003385942418640542,1.0123662908856903,-0.003385942418640764,Base Equity Minimum-Variance
2021-01-14,0.004141687615951203,0.0041416876159512395,0.0,0.0,1.0175767725880462,0.0,1.016559195815458,0.0,Base Equity Minimum-Variance
2021-01-15,-0.004784788986315888,-0.004784788986315847,0.0,0.0,1.012707882453836,-0.004784788986315958,1.0116951745713822,-0.004784788986315736,Base Equity Minimum-Variance
2021-01-19,0.010900511721435484,0.01090051172143558,0.0,0.0,1.0237469165969142,0.0,1.0227231696803174,0.0,Base Equity Minimum-Variance
2021-01-20,0.015094791439198795,0.015094791439198785,0.0,0.0,1.0392001627894674,0.0,1.0381609626266781,0.0,Base Equity Minimum-Variance
