fund,family,method,rebalance_date,ticker,weight,asset_class,allocation_group
Equity Equal-Weight,equity,equal_weight,2021-01-04,ABBV,0.02,Equity,Healthcare
Equity Equal-Weight,equity,equal_weight,2021-01-04,ABT,0.02,Equity,Healthcare
Equity Equal-Weight,equity,equal_weight,2021-01-04,ADBE,0.02,Equity,Tech
Equity Equal-Weight,equity,equal_weight,2021-01-04,AEP,0.02,Equity,Utilities
Equity Equal-Weight,equity,equal_weight,2021-01-04,AMD,0.02,Equity,Tech
Equity Equal-Weight,equity,equal_weight,2021-01-04,AMGN,0.02,Equity,Healthcare
Equity Equal-Weight,equity,equal_weight,2021-01-04,AMT,0.02,Equity,RealEstate
Equity Equal-Weight,equity,equal_weight,2021-01-04,BA,0.02,Equity,Industrials
Equity Equal-Weight,equity,equal_weight,2021-01-04,CAT,0.02,Equity,Industrials
Equity Equal-Weight,equity,equal_weight,2021-01-04,CCI,0.02,Equity,RealEstate
Equity Equal-Weight,equity,equal_weight,2021-01-04,CMCSA,0.02,Equity,Comm
Equity Equal-Weight,equity,equal_weight,2021-01-04,COP,0.02,Equity,Energy
Equity Equal-Weight,equity,equal_weight,2021-01-04,CVX,0.02,Equity,Energy
Equity Equal-Weight,equity,equal_weight,2021-01-04,D,0.02,Equity,Utilities
Equity Equal-Weight,equity,equal_weight,2021-01-04,DD,0.02,Equity,Materials
Equity Equal-Weight,equity,equal_weight,2021-01-04,DIS,0.02,Equity,Consumer
Equity Equal-Weight,equity,equal_weight,2021-01-04,DOW,0.02,Equity,Materials
Equity Equal-Weight,equity,equal_weight,2021-01-04,DUK,0.02,Equity,Utilities
Equity Equal-Weight,equity,equal_weight,2021-01-04,EA,0.02,Equity,Comm
Equity Equal-Weight,equity,equal_weight,2021-01-04,GE,0.02,Equity,Industrials
Equity Equal-Weight,equity,equal_weight,2021-01-04,GILD,0.02,Equity,Healthcare
Equity Equal-Weight,equity,equal_weight,2021-01-04,GS,0.02,Equity,Financials
Equity Equal-Weight,equity,equal_weight,2021-01-04,INTC,0.02,Equity,Tech
Equity Equal-Weight,equity,equal_weight,2021-01-04,KO,0.02,Equity,Consumer
Equity Equal-Weight,equity,equal_weight,2021-01-04,MMM,0.02,Equity,Industrials
Equity Equal-Weight,equity,equal_weight,2021-01-04,MRK,0.02,Equity,Healthcare
Equity Equal-Weight,equity,equal_weight,2021-01-04,MS,0.02,Equity,Financials
Equity Equal-Weight,equity,equal_weight,2021-01-04,NEE,0.02,Equity,Utilities
Equity Equal-Weight,equity,equal_weight,2021-01-04,NEM,0.02,Equity,Materials
Equity Equal-Weight,equity,equal_weight,2021-01-04,NKE,0.02,Equity,Consumer
Equity Equal-Weight,equity,equal_weight,2021-01-04,NUE,0.02,Equity,Materials
Equity Equal-Weight,equity,equal_weight,2021-01-04,NVDA,0.02,Equity,Tech
Equity Equal-Weight,equity,equal_weight,2021-01-04,O,0.02,Equity,RealEstate
Equity Equal-Weight,equity,equal_weight,2021-01-04,OXY,0.02,Equity,Energy
Equity Equal-Weight,equity,equal_weight,2021-01-04,PLD,0.02,Equity,RealEstate
Equity Equal-Weight,equity,equal_weight,2021-01-04,PSA,0.02,Equity,RealEstate
Equity Equal-Weight,equity,equal_weight,2021-01-04,QCOM,0.02,Equity,Tech
Equity Equal-Weight,equity,equal_weight,2021-01-04,SBUX,0.02,Equity,Consumer
