date,fund,family,method,periods_per_year,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net
2021-01-04,Equity Equal-Weight,equity,equal_weight,252,-0.013701064199660195,-0.014687363135460596,1.0,0.001,0.9862989358003398,0.0,0.9853126368645394,0.0
2021-01-05,Equity Equal-Weight,equity,equal_weight,252,0.012741623294831668,0.012741623294831639,0.0,0.0,0.998865985296401,0.0,0.9978671193111046,0.0
2021-01-06,Equity Equal-Weight,equity,equal_weight,252,0.013716586163369609,0.013716586163369682,0.0,0.0,1.0125670166493783,0.0,1.011554449632729,0.0
2021-01-07,Equity Equal-Weight,equity,equal_weight,252,0.009797558524357658,0.009797558524357708,0.0,0.0,1.0224877012548348,0.0,1.02146521355358,0.0
2021-01-08,Equity Equal-Weight,equity,equal_weight,252,0.0025391197143721156,0.00253911971437204,0.0,0.0,1.0250839199347939,0.0,1.024058836014859,0.0
2021-01-11,Equity Equal-Weight,equity,equal_weight,252,0.00024143705130121566,0.00024143705130130755,0.0,0.0,1.0253314131737592,0.0,1.0243060817605856,0.0
2021-01-12,Equity Equal-Weight,equity,equal_weight,252,0.004053146990521044,0.0040531469905209505,0.0,0.0,1.029487232105351,0.0,1.0284577448732457,0.0
2021-01-13,Equity Equal-Weight,equity,equal_weight,252,-0.00036668705444897623,-0.00036668705444897753,0.0,0.0,1.0291097324646175,-0.00036668705444897753,1.0280806227321528,-0.00036668705444908856
2021-01-14,Equity Equal-Weight,equity,equal_weight,252,0.004186892503517239,0.0041868925035173366,0.0,0.0,1.0334185042887702,0.0,1.0323850857844816,0.0
2021-01-15,Equity Equal-Weight,equity,equal_weight,252,-0.012468237405141814,-0.012468237405141802,0.0,0.0,1.0205335970384313,-0.012468237405141802,1.019513063441393,-0.012468237405141913
2021-01-19,Equity Equal-Weight,equity,equal_weight,252,0.00768646568684139,0.007686465686841393,0.0,0.0,1.028377893514336,-0.004877608397290456,1.0273495156208217,-0.004877608397290567
2021-01-20,Equity Equal-Weight,equity,equal_weight,252,0.0075308815780699995,0.0075308815780699145,0.0,0.0,1.0361224856478974,0.0,1.0350863631622496,0.0
2021-01-21,Equity Equal-Weight,equity,equal_weight,252,-0.008091989758853555,-0.008091989758853502,0.0,0.0,1.0277381931051168,-0.008091989758853502,1.0267104549120116,-0.008091989758853613
2021-01-22,Equity Equal-Weight,equity,equal_weight,252,-0.003257065088682086,-0.003257065088682065,0.0,0.0,1.024390782916049,-0.011322698710193979,1.0233663921331329,-0.01132269871019409
2021-01-25,Equity Equal-Weight,equity,equal_weight,252,0.0017190661049002157,0.0017190661049002465,0.0,0.0,1.0261517783891323,-0.009623097072862352,1.025125626610743,-0.009623097072862574
2021-01-26,Equity Equal-Weight,equity,equal_weight,252,-0.005633202476990916,-0.0056332024769909506,0.0,0.0,1.020371257649342,-0.01520209069558609,1.0193508863916925,-0.015202090695586312
2021-01-27,Equity Equal-Weight,equity,equal_weight,252,-0.025689904680956194,-0.02568990468095622,0.0,0.0,0.994158017301143,-0.04050145511562153,0.9931638592838417,-0.04050145511562164
2021-01-28,Equity Equal-Weight,equity,equal_weight,252,0.010414456904308636,0.010414456904308533,0.0,0.0,1.0045116331283985,-0.030508798870176324,1.00350712149527,-0.030508798870176546
2021-01-29,Equity Equal-Weight,equity,equal_weight,252,-0.014843771101669808,-0.01484377110166979,0.0,0.0,0.9896008923772761,-0.04489970434483037,0.9886112914848987,-0.04489970434483048
2021-02-01,Equity Equal-Weight,equity,equal_weight,252,0.008517686014717273,0.008492136391034633,0.025333838004933648,2.5333838004933647e-05,0.9980300020584298,-0.03676445991387589,0.9970067134099053,-0.03678886236700929
2021-02-02,Equity Equal-Weight,equity,equal_weight,252,0.017461368582400643,0.01746136858240055,0.0,0.0,1.015456971780666,-0.019945049116764424,1.0144158151118834,-0.019969877670126368
2021-02-03,Equity Equal-Weight,equity,equal_weight,252,0.0018690288929366233,0.0018690288929366083,0.0,0.0,1.017354890200458,-0.0181132980968981,1.0163117875797794,-0.01813817305554366
2021-02-04,Equity Equal-Weight,equity,equal_weight,252,0.009279172224145423,0.009279172224145427,0.0,0.0,1.0267951014397048,-0.009002202285340988,1.0257423196901612,-0.009027308063011996
2021-02-05,Equity Equal-Weight,equity,equal_weight,252,0.006292140440644192,0.006292140440644189,0.0,0.0,1.033255840421729,-0.0027667049657512655,1.0321964344215637,-0.0027919687125014248
2021-02-08,Equity Equal-Weight,equity,equal_weight,252,0.01347289403368723,0.013472894033687233,0.0,0.0,1.0471767868694193,0.0,1.0461031076044753,0.0
2021-02-09,Equity Equal-Weight,equity,equal_weight,252,-0.0028566363844635127,-0.00285663638446354,0.0,0.0,1.0441853835590824,-0.002856636384463651,1.043114771405392,-0.002856636384463429
2021-02-10,Equity Equal-Weight,equity,equal_weight,252,0.0018380613809191842,0.0018380613809192425,0.0,0.0,1.0461046603871227,-0.0010238256765620068,1.0450320803825788,-0.0010238256765617848
2021-02-11,Equity Equal-Weight,equity,equal_weight,252,-0.0011448702812422444,-0.0011448702812422162,0.0,0.0,1.0449070062503765,-0.0021675238102140115,1.043835654210804,-0.0021675238102137895
2021-02-12,Equity Equal-Weight,equity,equal_weight,252,0.00456925706778937,0.004569257067789323,0.0,0.0,1.0496814549738687,0.0,1.0486052076514172,0.0
2021-02-16,Equity Equal-Weight,equity,equal_weight,252,0.0013897038414903639,0.0013897038414902863,0.0,0.0,1.051140201324187,0.0,1.050062458336697,0.0
2021-02-17,Equity Equal-Weight,equity,equal_weight,252,0.0025314182146181355,0.0025314182146181086,0.0,0.0,1.0538010767759365,0.0,1.0527206055702172,0.0
2021-02-18,Equity Equal-Weight,equity,equal_weight,252,-0.006636366116092681,-0.00663636611609264,0.0,0.0,1.0468076670169186,-0.006636366116092751,1.0457343662136984,-0.00663636611609264
2021-02-19,Equity Equal-Weight,equity,equal_weight,252,0.0017552142697426088,0.0017552142697425666,0.0,0.0,1.0486450387717428,-0.004892800090856242,1.0475698540956369,-0.004892800090856353
2021-02-22,Equity Equal-Weight,equity,equal_weight,252,0.003151462198257099,0.0031514621982571267,0.0,0.0,1.0519498039708217,-0.0017567573671292136,1.050871230890853,-0.0017567573671292136
2021-02-23,Equity Equal-Weight,equity,equal_weight,252,0.0007040167077609853,0.0007040167077609905,0.0,0.0,1.052690394208543,-0.0010539774459061846,1.0516110617951056,-0.0010539774459060736
