date,finvader_compound,fear_greed_100,fear_greed_21d,expanding_z,historical_full_sample_z
2020-01-03,0.03661974023384909,51.83098701169245,,,-0.9177435484095098
2020-01-06,0.026042261604136602,51.30211308020684,,,-1.1901609606456187
2020-01-07,0.09229608893557424,54.614804446778706,,,0.5161715997123062
2020-01-08,0.05987878066378067,52.99393903318903,,,-0.3187191658672819
2020-01-09,0.03849235515873016,51.92461775793651,52.53329226596071,,-0.8695153335570703
2020-01-10,0.003997341269841269,50.199867063492064,52.144388065549265,,-1.7579163171585261
2020-01-13,0.08250848684210527,54.12542434210527,52.4273932479144,,0.26409704322870625
2020-01-14,0.07396390331890332,53.698195165945165,52.586243487668256,,0.044035777825863764
2020-01-15,0.046369086229086226,52.31845431145431,52.556489134755594,,-0.6666542576633615
2020-01-16,0.12513757235257233,56.256878617628615,52.926528083042896,,1.3619867735971911
2020-01-17,0.09958296676258215,54.9791483381291,53.11312992441437,,0.7038413148122807
2020-01-21,0.06670541317941318,53.33527065897066,53.13164165229406,,-0.14290282727676012
2020-01-22,0.05179088624338624,52.58954431216931,53.08994185689984,,-0.527018643046433
2020-01-23,0.07238277892799631,53.619138946399815,53.127741649006985,,0.003314748734453741
2020-01-24,0.06014476469344223,53.007238234672116,53.119708088051325,,-0.31186888674187274
2020-01-27,0.032284541847041846,51.614227092352095,53.02561552582013,,-1.0293943082367851
2020-01-28,0.03382775171409786,51.691387585704895,52.94713152934276,,-0.9896497478138766
2020-01-29,0.04860717460317461,52.43035873015873,52.91842192938809,,-0.6090134658859863
2020-01-30,0.017305251998001998,50.8652625999001,52.81036091204662,,-1.4151780588508083
2020-01-31,0.031071381585893777,51.55356907929469,52.74752132040902,,-1.06063861423248
2020-02-03,0.08536243598823091,54.26812179941155,52.81993086702819,,0.3375990060553764
2020-02-04,0.09476320075757574,54.73816003787879,52.95836767779896,,0.5797107702249207
2020-02-05,0.07739990706824039,53.869995353412016,53.08064778604684,,0.13252825156139494
2020-02-06,0.08559610188092331,54.27980509404616,53.06469543591671,,0.34361694852006086
2020-02-07,0.07217412552162553,53.60870627608128,53.09397006653063,,-0.002059010268764353
2020-02-10,0.06681382890365449,53.34069144518272,53.161402146875695,,-0.140110637183315
2020-02-11,0.04153982996080916,52.07699149804046,53.250789024711324,,-0.7910292190018404
2020-02-12,0.12159037892934951,56.07951894646747,53.343841148728565,,1.2706306681505761
2020-02-13,0.03935127385871704,51.96756369293585,53.26143012620433,,-0.8473943331029232
2020-02-14,0.10376932141819238,55.18846607090961,53.39809735284505,,0.811658682439045
2020-02-18,0.02970058911712833,51.48502945585641,53.170866440379704,,-1.0959426550276927
2020-02-19,0.10241242117604618,55.120621058802314,53.17760323660224,,0.7767124286513397
2020-02-20,0.08492379696514311,54.24618984825715,53.220980340853984,,0.32630208816421175
2020-02-21,0.06199910119047619,53.09995505952381,53.24528561453752,,-0.2641114232081769
2020-02-24,-0.013869026638938402,49.30654866805308,53.03992417271149,,-2.2180552483870177
2020-02-25,0.0205601636283613,51.02800818141806,52.94567512255654,,-1.3313495176227566
2020-02-26,0.06351903394691209,53.1759516973456,53.02004296088956,,-0.22496635255607678
2020-02-27,0.020253906659765356,51.012695332988265,52.987724282188765,,-1.3392370051597022
2020-02-28,-0.05928423680324843,47.03578815983758,52.730839969316335,,-3.3877001573701078
2020-03-02,0.07731730011308137,53.865865005654065,52.873725798161765,,0.13040075277412172
2020-03-03,0.012727544298519907,50.636377214926,52.83004999509659,,-1.5330745187843902
2020-03-04,0.17479640151515152,58.73982007575758,53.04298800825592,,2.6409238633063348
2020-03-05,0.03141610554174508,51.57080527708725,52.89216159107538,,-1.051760429621924
2020-03-06,-0.043496048433548436,47.82519757832257,52.60431407797587,,-2.981083649775531
2020-03-09,-0.03343695387088121,48.32815230645594,52.32090204047157,,-2.722016947196459
2020-03-10,0.10690221277486697,55.34511063874334,52.4035879625031,,0.8923446555408773
2020-03-11,0.06612607638888889,53.306303819444445,52.401950456515564,,-0.15782334234586812
2020-03-12,-0.02651298871231108,48.67435056438445,52.23991993586529,,-2.5436938574563133
2020-03-13,0.07943917944820204,53.97195897241011,52.13955993710064,,0.1850486417263321
2020-03-16,-0.03409795874641761,48.29510206267912,51.96468081185032,,-2.7390407809448214
2020-03-17,0.08962009826152684,54.48100491307635,51.93099218528683,,0.44725286396141
2020-03-18,0.041317838137472286,52.06589190687362,51.95865230200194,,-0.7967465019355172
2020-03-19,0.03270632675438597,51.635316337719296,51.7926854105218,,-1.0185314592534611
2020-03-20,0.0430322854541292,52.15161427270646,51.69294371644795,,-0.7525918108443085
2020-03-23,0.052530082761071496,52.626504138053576,51.67039843447318,,-0.5079810245807116
2020-03-24,0.23205993034743033,61.60299651737151,52.25594357015501,,4.115716002916784
2020-03-25,0.1258240911730546,56.29120455865273,52.50657196907095,,1.3796677056107838
2020-03-26,0.11142387304724262,55.571193652362126,52.62063110978602,,1.0087976433967276
2020-03-27,0.14947671089594167,57.47383554479708,52.92830445320549,,1.988828516336896
2020-03-30,0.07748494514062937,53.87424725703147,53.253945362595665,,0.13471836249735197
2020-03-31,0.0907003765227021,54.53501882613511,53.285809830237625,,0.47507486376934344
2020-04-01,0.014832983405483407,50.74164917027417,53.2908227804923,,-1.4788500392823891
2020-04-02,0.05050042887667888,52.52502144383394,52.99487998849594,,-0.5602536954389706
