date,sector,vader_compound_lagged,finvader_compound_lagged,finvader_score_100_lagged,finvader_21d,finvader_expanding_z
2020-01-03,Comm,0.0,0.0,50.0,,
2020-01-03,Consumer,0.0,0.0,50.0,,
2020-01-03,Energy,0.0,0.0,50.0,,
2020-01-03,Financials,0.0,0.0,50.0,,
2020-01-03,Healthcare,0.0,0.0,50.0,,
2020-01-03,Industrials,0.0,0.0,50.0,,
2020-01-03,Materials,0.0,0.0,50.0,,
2020-01-03,RealEstate,0.0,0.0,50.0,,
2020-01-03,Tech,0.0,0.0,50.0,,
2020-01-03,Utilities,0.0,0.0,50.0,,
2020-01-06,Comm,0.08685714285714285,0.08066380952380953,54.03319047619048,,
2020-01-06,Consumer,-0.1025132727272727,-0.09951099567099567,45.02445021645022,,
2020-01-06,Energy,0.055450035087719285,-0.06016029027113238,46.99198548644338,,
2020-01-06,Financials,0.09007809523809525,0.06968952380952381,53.484476190476194,,
2020-01-06,Healthcare,0.22046571428571432,0.14225000000000002,57.1125,,
2020-01-06,Industrials,-0.017023333333333335,-0.0017333333333333257,49.913333333333334,,
2020-01-06,Materials,0.105185,0.030081666666666666,51.50408333333333,,
2020-01-06,RealEstate,-0.021931999999999997,0.06967999999999999,53.483999999999995,,
2020-01-06,Tech,0.06461214285714285,0.06956833333333334,53.47841666666666,,
2020-01-06,Utilities,0.0741,0.021725,51.08625,,
2020-01-07,Comm,0.13610583333333331,0.09766666666666667,54.883333333333326,,
2020-01-07,Consumer,0.10678931372549019,0.026227083333333335,51.31135416666667,,
2020-01-07,Energy,0.08543969696969697,-0.011302196969696974,49.434890151515155,,
2020-01-07,Financials,0.284306,0.03407399999999999,51.7037,,
2020-01-07,Healthcare,0.32718,0.182132,59.1066,,
2020-01-07,Industrials,0.021177222222222226,0.026239444444444447,51.311972222222224,,
2020-01-07,Materials,-0.055811999999999994,-0.12378200000000002,43.8109,,
2020-01-07,RealEstate,0.071308,0.013619999999999998,50.681,,
2020-01-07,Tech,-0.013116666666666665,0.04673000000000001,52.336499999999994,,
2020-01-07,Utilities,0.009050000000000002,-0.016710000000000003,49.1645,,
2020-01-08,Comm,0.21376,0.13585,56.792500000000004,,
2020-01-08,Consumer,0.1472385,0.08132750000000001,54.066375,,
2020-01-08,Energy,0.07906333333333333,0.003912500000000002,50.195625,,
2020-01-08,Financials,0.112896,0.130487,56.52435,,
2020-01-08,Healthcare,0.10863733333333334,0.08464800000000001,54.232400000000005,,
2020-01-08,Industrials,0.001105714285714285,-0.026722857142857142,48.66385714285714,,
2020-01-08,Materials,0.07636,0.0044699999999999965,50.2235,,
2020-01-08,RealEstate,0.08879999999999999,0.011500000000000002,50.575,,
2020-01-08,Tech,-0.07656785714285715,0.09105442857142856,54.552721428571424,,
2020-01-08,Utilities,0.19107000000000002,0.12777,56.38849999999999,,
2020-01-09,Comm,0.154382,0.049216,52.4608,0.07267929523809523,
2020-01-09,Consumer,0.13377,0.06694571428571429,53.34728571428572,0.014997860389610393,
2020-01-09,Energy,-0.018874999999999986,-0.12723666666666666,43.63816666666666,-0.0389573307814992,
2020-01-09,Financials,0.293586,0.23228900000000002,61.61445,0.09330790476190476,
2020-01-09,Healthcare,0.22532444444444444,0.13316,56.657999999999994,0.10843799999999999,
2020-01-09,Industrials,0.024525714285714286,-0.020898095238095236,48.95509523809524,-0.004622968253968252,
2020-01-09,Materials,0.03652,-0.09737500000000002,45.13125,-0.037321066666666666,
2020-01-09,RealEstate,0.04848,-0.028290000000000003,48.585499999999996,0.013301999999999998,
2020-01-09,Tech,0.0699545,0.159498,57.9749,0.07337015238095237,
2020-01-09,Utilities,0.23153,0.22742,61.370999999999995,0.072041,
2020-01-10,Comm,0.16018,-0.027080000000000003,48.646,0.05605274603174603,
2020-01-10,Consumer,0.2834562698412698,0.12821817460317458,56.410908730158724,0.03386791275853776,
2020-01-10,Energy,0.08153300000000001,-0.037422,48.1289,-0.038701442317916,
2020-01-10,Financials,0.26152933333333334,0.14523999999999998,57.262,0.10196325396825397,
2020-01-10,Healthcare,0.21403333333333335,0.13459000000000002,56.7295,0.11279666666666667,
2020-01-10,Industrials,0.033716666666666666,0.015456666666666665,50.77283333333333,-0.001276362433862432,
2020-01-10,Materials,0.10181333333333334,-0.08114666666666667,45.94266666666667,-0.04462533333333334,
2020-01-10,RealEstate,0.014479999999999998,-0.06178,46.911,0.0007883333333333307,
2020-01-10,Tech,0.09154333333333334,0.089176,54.4588,0.07600446031746032,
2020-01-10,Utilities,0.059199999999999996,0.012,50.6,0.06203416666666667,
2020-01-13,Comm,0.028676666666666673,-0.09694333333333334,45.152833333333334,0.03419616326530612,
2020-01-13,Consumer,0.004144000000000004,0.12495799999999999,56.247899999999994,0.04688078236446093,
2020-01-13,Energy,0.07396200000000001,-0.200256,39.9872,-0.061780664843928,
2020-01-13,Financials,0.31458833333333336,0.19504,59.752,0.11525993197278912,
2020-01-13,Healthcare,0.24778000000000003,0.03246,51.623,0.10132,
2020-01-13,Industrials,0.06901666666666666,0.020836666666666663,51.04183333333333,0.00188264172335601,
2020-01-13,Materials,-0.009360000000000012,-0.06744,46.628,-0.047884571428571436,
2020-01-13,RealEstate,-0.08412,0.01044,50.522,0.002167142857142855,
2020-01-13,Tech,0.265226,0.167359,58.36795,0.08905510884353741,
2020-01-13,Utilities,0.18409666666666666,0.030270000000000002,51.5135,0.05749642857142857,
2020-01-14,Comm,0.07480916666666668,0.018807499999999998,50.940375,0.03227258035714285,
2020-01-14,Consumer,0.08908528571428571,0.02722371428571429,51.36118571428572,0.0444236488546176,
2020-01-14,Energy,0.13454349999999998,0.06339,53.1695,-0.046134331738437,
2020-01-14,Financials,0.19619,0.10831428571428572,55.41571428571429,0.11439172619047619,
2020-01-14,Healthcare,0.13385750000000002,0.0693975,53.469875,0.0973296875,
2020-01-14,Industrials,0.059236666666666674,0.040389999999999995,52.019499999999994,0.0066960615079365085,
2020-01-14,Materials,0.16784,0.16035333333333332,58.01766666666667,-0.021854833333333337,
2020-01-14,RealEstate,0.03601333333333334,0.029846666666666667,51.49233333333333,0.005627083333333331,
2020-01-14,Tech,0.20091574999999998,0.18527149999999998,59.263575,0.10108215773809523,
2020-01-14,Utilities,0.06448,-0.012459999999999995,49.376999999999995,0.048751875,
2020-01-15,Comm,0.12403249999999999,0.032260833333333336,51.61304166666667,0.03227127513227513,
2020-01-15,Consumer,0.042910000000000004,0.011278333333333333,50.563916666666664,0.04074083601891935,
2020-01-15,Energy,0.2138183333333333,0.046581666666666674,52.32908333333334,-0.035832554137869926,
2020-01-15,Financials,0.035565476190476196,0.03647142857142858,51.82357142857143,0.10573391534391535,
2020-01-15,Healthcare,0.31071,0.06061,53.0305,0.09324972222222222,
2020-01-15,Industrials,0.089663,0.10392699999999999,55.19635,0.017499499118165784,
2020-01-15,Materials,0.22509999999999994,0.23386,61.693,0.006557925925925924,
2020-01-15,RealEstate,0.017720000000000003,0.0125,50.625,0.0063907407407407385,
2020-01-15,Tech,0.241154,0.18342399999999998,59.1712,0.11023125132275131,
2020-01-15,Utilities,0.23483,0.09511,54.7555,0.05390277777777778,
2020-01-16,Comm,0.07460833333333333,0.014103333333333332,50.70516666666667,0.03045448095238095,
2020-01-16,Consumer,0.09546038095238095,0.027477904761904766,51.37389523809524,0.0394145428932179,
2020-01-16,Energy,0.08600666666666665,0.011299999999999998,50.565000000000005,-0.031119298724082933,
2020-01-16,Financials,0.06089596825396826,0.042468000000000006,52.1234,0.0994073238095238,
2020-01-16,Healthcare,0.27131,0.16416833333333333,58.208416666666665,0.10034158333333335,
2020-01-16,Industrials,-0.07338499999999998,-0.020130000000000002,48.9935,0.013736549206349206,
2020-01-16,Materials,0.23073333333333332,0.23331,61.665499999999994,0.029233133333333328,
2020-01-16,RealEstate,0.025555,0.014244999999999999,50.712250000000004,0.007176166666666666,
2020-01-16,Tech,0.018463666666666673,0.040085333333333334,52.004266666666666,0.10321665952380951,
2020-01-16,Utilities,0.15177000000000002,0.04413666666666667,52.206833333333336,0.05292616666666666,
2020-01-17,Comm,0.18808,0.06567166666666666,53.283583333333326,0.033656043290043285,
2020-01-17,Consumer,0.17721542857142858,0.06447800000000001,53.2239,0.04169303899383445,
2020-01-17,Energy,0.1408009523809524,0.12452542857142856,56.22627142857143,-0.016969778060854614,
2020-01-17,Financials,0.14342895726495727,0.1432251623931624,57.16125811965812,0.10339076368076369,
2020-01-17,Healthcare,0.151955,0.15975,57.987500000000004,0.10574234848484848,
