trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2020-01-03,ABBV,Healthcare,0.1468,0.131,3
2020-01-03,ABT,Healthcare,0.3243,0.197975,4
2020-01-03,AMD,Tech,0.18182857142857142,0.13807142857142857,21
2020-01-03,AMGN,Healthcare,0.17748571428571427,0.2065857142857143,7
2020-01-03,AMT,RealEstate,-0.08746000000000001,0.01449999999999999,5
2020-01-03,BA,Industrials,-0.0036999999999999997,-0.051083333333333335,6
2020-01-03,CAT,Industrials,-0.0026333333333333395,0.03500000000000003,3
2020-01-03,CCI,RealEstate,-0.3182,-0.0065,1
2020-01-03,CMCSA,Comm,0.0,0.0077,1
2020-01-03,COP,Energy,-0.06806666666666668,-0.14943333333333333,3
2020-01-03,CVX,Energy,0.008749999999999999,-0.07348333333333333,6
2020-01-03,DD,Materials,0.2628,0.00775,2
2020-01-03,DIS,Consumer,0.03736363636363637,-0.0013454545454545483,11
2020-01-03,DOW,Materials,0.0,0.0021333333333333334,3
2020-01-03,DUK,Utilities,0.0,0.0077,1
2020-01-03,EA,Comm,0.0,0.004733333333333333,3
2020-01-03,GE,Industrials,0.03591666666666666,-0.027483333333333332,6
2020-01-03,GILD,Healthcare,0.16204285714285716,-0.02668571428571429,7
2020-01-03,GS,Financials,0.0,0.0194,1
2020-01-03,INTC,Tech,0.20197500000000002,0.22344166666666668,12
2020-01-03,KO,Consumer,-0.21427999999999997,-0.1737,5
2020-01-03,MMM,Industrials,-0.1147,-0.1535,4
2020-01-03,MRK,Healthcare,0.2917,0.202375,8
2020-01-03,MS,Financials,0.23653333333333335,0.21323333333333336,3
2020-01-03,NEE,Utilities,0.3705,0.100925,4
2020-01-03,NEM,Materials,-0.11867500000000002,-0.226875,4
2020-01-03,NKE,Consumer,-0.11958333333333333,-0.15823333333333334,6
2020-01-03,NUE,Materials,0.3818,0.3674,1
2020-01-03,NVDA,Tech,0.0,0.0,2
2020-01-03,O,RealEstate,0.0,0.031,1
2020-01-03,OXY,Energy,0.0987,0.01686363636363636,11
2020-01-03,PSA,RealEstate,0.296,0.3094,1
2020-01-03,QCOM,Tech,-0.060742857142857154,-0.013671428571428557,7
